source,company,location,team_size,url,linkedin_search
YC,Substrate,Remote,2,https://www.ycombinator.com/companies/substrate,https://www.linkedin.com/search/results/people/?keywords=Substrate%20founder
YC,Mage Legal,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/mage-legal,https://www.linkedin.com/search/results/people/?keywords=Mage%20Legal%20founder
YC,Mineflow,,2,https://www.ycombinator.com/companies/mineflow,https://www.linkedin.com/search/results/people/?keywords=Mineflow%20founder
YC,Cerulion,,2,https://www.ycombinator.com/companies/cerulion,https://www.linkedin.com/search/results/people/?keywords=Cerulion%20founder
YC,Simple AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/simple-ai,https://www.linkedin.com/search/results/people/?keywords=Simple%20AI%20founder
YC,Sonatoria,,2,https://www.ycombinator.com/companies/sonatoria,https://www.linkedin.com/search/results/people/?keywords=Sonatoria%20founder
YC,Onlook,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/onlook,https://www.linkedin.com/search/results/people/?keywords=Onlook%20founder
YC,Candle,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/candle,https://www.linkedin.com/search/results/people/?keywords=Candle%20founder
YC,Smooth,,2,https://www.ycombinator.com/companies/smooth,https://www.linkedin.com/search/results/people/?keywords=Smooth%20founder
YC,Unusual,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/unusual,https://www.linkedin.com/search/results/people/?keywords=Unusual%20founder
YC,Fresco,,2,https://www.ycombinator.com/companies/fresco,https://www.linkedin.com/search/results/people/?keywords=Fresco%20founder
YC,Ryvn,"New York, NY, USA",2,https://www.ycombinator.com/companies/ryvn,https://www.linkedin.com/search/results/people/?keywords=Ryvn%20founder
YC,Synth,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/synth-3,https://www.linkedin.com/search/results/people/?keywords=Synth%20founder
YC,Enhanced Radar,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/enhanced-radar,https://www.linkedin.com/search/results/people/?keywords=Enhanced%20Radar%20founder
YC,Hey Telo,,2,https://www.ycombinator.com/companies/hey-telo,https://www.linkedin.com/search/results/people/?keywords=Hey%20Telo%20founder
YC,Axiom,,2,https://www.ycombinator.com/companies/axiom,https://www.linkedin.com/search/results/people/?keywords=Axiom%20founder
YC,Rocketable,Remote,2,https://www.ycombinator.com/companies/rocketable,https://www.linkedin.com/search/results/people/?keywords=Rocketable%20founder
YC,ZeroEntropy,,2,https://www.ycombinator.com/companies/zeroentropy,https://www.linkedin.com/search/results/people/?keywords=ZeroEntropy%20founder
YC,Cuckoo Labs,,2,https://www.ycombinator.com/companies/cuckoo-labs,https://www.linkedin.com/search/results/people/?keywords=Cuckoo%20Labs%20founder
YC,Olive,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/olive,https://www.linkedin.com/search/results/people/?keywords=Olive%20founder
YC,Macadamia,,2,https://www.ycombinator.com/companies/macadamia,https://www.linkedin.com/search/results/people/?keywords=Macadamia%20founder
YC,Waypoint Transit,,2,https://www.ycombinator.com/companies/waypoint-transit,https://www.linkedin.com/search/results/people/?keywords=Waypoint%20Transit%20founder
YC,Karsa,"New York, NY, USA",2,https://www.ycombinator.com/companies/karsa,https://www.linkedin.com/search/results/people/?keywords=Karsa%20founder
YC,Orbital Operations,,2,https://www.ycombinator.com/companies/orbital-operations,https://www.linkedin.com/search/results/people/?keywords=Orbital%20Operations%20founder
YC,Atlog,"New York, NY, USA",2,https://www.ycombinator.com/companies/atlog,https://www.linkedin.com/search/results/people/?keywords=Atlog%20founder
YC,ThirdLayer,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/thirdlayer,https://www.linkedin.com/search/results/people/?keywords=ThirdLayer%20founder
YC,Ambral,,2,https://www.ycombinator.com/companies/ambral,https://www.linkedin.com/search/results/people/?keywords=Ambral%20founder
YC,Wayline,,2,https://www.ycombinator.com/companies/wayline,https://www.linkedin.com/search/results/people/?keywords=Wayline%20founder
YC,Chestnut,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/chestnut,https://www.linkedin.com/search/results/people/?keywords=Chestnut%20founder
YC,nao Labs,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/nao-labs,https://www.linkedin.com/search/results/people/?keywords=nao%20Labs%20founder
YC,Bloom,,2,https://www.ycombinator.com/companies/bloom-4,https://www.linkedin.com/search/results/people/?keywords=Bloom%20founder
YC,Almond,,2,https://www.ycombinator.com/companies/almond-2,https://www.linkedin.com/search/results/people/?keywords=Almond%20founder
YC,Tegore,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/tegore,https://www.linkedin.com/search/results/people/?keywords=Tegore%20founder
YC,Labric,,2,https://www.ycombinator.com/companies/labric,https://www.linkedin.com/search/results/people/?keywords=Labric%20founder
YC,Cactus,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/oncactus,https://www.linkedin.com/search/results/people/?keywords=Cactus%20founder
YC,StarSling,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/starsling,https://www.linkedin.com/search/results/people/?keywords=StarSling%20founder
YC,Prox,,2,https://www.ycombinator.com/companies/prox,https://www.linkedin.com/search/results/people/?keywords=Prox%20founder
YC,Parametric,,2,https://www.ycombinator.com/companies/parametric,https://www.linkedin.com/search/results/people/?keywords=Parametric%20founder
YC,MangoDesk,,2,https://www.ycombinator.com/companies/mangodesk,https://www.linkedin.com/search/results/people/?keywords=MangoDesk%20founder
YC,Halluminate,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/halluminate,https://www.linkedin.com/search/results/people/?keywords=Halluminate%20founder
YC,TraceRoot.AI,,2,https://www.ycombinator.com/companies/traceroot-ai,https://www.linkedin.com/search/results/people/?keywords=TraceRoot.AI%20founder
YC,Liva AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/liva-ai,https://www.linkedin.com/search/results/people/?keywords=Liva%20AI%20founder
YC,"Galactic Resource Utilization Space, Inc. (GRU Space)","San Francisco, CA, USA",2,https://www.ycombinator.com/companies/galactic-resource-utilization-space-inc-gru-space,https://www.linkedin.com/search/results/people/?keywords=Galactic%20Resource%20Utilization%20Space%2C%20Inc.%20%28GRU%20Space%29%20founder
YC,Orange Slice,,2,https://www.ycombinator.com/companies/orange-slice,https://www.linkedin.com/search/results/people/?keywords=Orange%20Slice%20founder
YC,Proliferate,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/proliferate,https://www.linkedin.com/search/results/people/?keywords=Proliferate%20founder
YC,DeepAware AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/deepaware-ai,https://www.linkedin.com/search/results/people/?keywords=DeepAware%20AI%20founder
YC,Pangolin,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/pangolin,https://www.linkedin.com/search/results/people/?keywords=Pangolin%20founder
YC,CareSwift,"New York, NY, USA",2,https://www.ycombinator.com/companies/careswift,https://www.linkedin.com/search/results/people/?keywords=CareSwift%20founder
YC,AgentHub,,2,https://www.ycombinator.com/companies/agenthub-2,https://www.linkedin.com/search/results/people/?keywords=AgentHub%20founder
YC,Kalinda,,2,https://www.ycombinator.com/companies/kalinda,https://www.linkedin.com/search/results/people/?keywords=Kalinda%20founder
YC,IronLedger.ai,,2,https://www.ycombinator.com/companies/ironledger-ai,https://www.linkedin.com/search/results/people/?keywords=IronLedger.ai%20founder
YC,Interface,"New York, NY, USA",2,https://www.ycombinator.com/companies/theinterface,https://www.linkedin.com/search/results/people/?keywords=Interface%20founder
YC,Comena,,2,https://www.ycombinator.com/companies/comena,https://www.linkedin.com/search/results/people/?keywords=Comena%20founder
YC,Novaflow,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/novaflow,https://www.linkedin.com/search/results/people/?keywords=Novaflow%20founder
YC,Iron Grid,,2,https://www.ycombinator.com/companies/iron-grid,https://www.linkedin.com/search/results/people/?keywords=Iron%20Grid%20founder
YC,Socratix AI,,2,https://www.ycombinator.com/companies/socratix-ai,https://www.linkedin.com/search/results/people/?keywords=Socratix%20AI%20founder
YC,Floot,,2,https://www.ycombinator.com/companies/floot,https://www.linkedin.com/search/results/people/?keywords=Floot%20founder
YC,Hera,,2,https://www.ycombinator.com/companies/hera-video,https://www.linkedin.com/search/results/people/?keywords=Hera%20founder
YC,dScribe AI,"Olathe, KS, USA",2,https://www.ycombinator.com/companies/dscribe-ai,https://www.linkedin.com/search/results/people/?keywords=dScribe%20AI%20founder
YC,Magnetic,,2,https://www.ycombinator.com/companies/magnetic,https://www.linkedin.com/search/results/people/?keywords=Magnetic%20founder
YC,TectoAI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/tectoai,https://www.linkedin.com/search/results/people/?keywords=TectoAI%20founder
YC,Brickwise,,2,https://www.ycombinator.com/companies/brickwise,https://www.linkedin.com/search/results/people/?keywords=Brickwise%20founder
YC,Questom,,2,https://www.ycombinator.com/companies/questom,https://www.linkedin.com/search/results/people/?keywords=Questom%20founder
YC,Hypercubic,,2,https://www.ycombinator.com/companies/hypercubic,https://www.linkedin.com/search/results/people/?keywords=Hypercubic%20founder
YC,Wardstone,,2,https://www.ycombinator.com/companies/wardstone,https://www.linkedin.com/search/results/people/?keywords=Wardstone%20founder
YC,Flick,,2,https://www.ycombinator.com/companies/flick,https://www.linkedin.com/search/results/people/?keywords=Flick%20founder
YC,Semble AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/semble-ai,https://www.linkedin.com/search/results/people/?keywords=Semble%20AI%20founder
YC,Unsiloed AI,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/unsiloed-ai,https://www.linkedin.com/search/results/people/?keywords=Unsiloed%20AI%20founder
YC,Nucleo,,2,https://www.ycombinator.com/companies/nucleo,https://www.linkedin.com/search/results/people/?keywords=Nucleo%20founder
YC,Zalos,,2,https://www.ycombinator.com/companies/zalos,https://www.linkedin.com/search/results/people/?keywords=Zalos%20founder
YC,Kalpa Labs,,2,https://www.ycombinator.com/companies/kalpa-labs,https://www.linkedin.com/search/results/people/?keywords=Kalpa%20Labs%20founder
YC,Miniswap,"San Francisco, CA, USA",2,https://www.ycombinator.com/companies/miniswap,https://www.linkedin.com/search/results/people/?keywords=Miniswap%20founder
YC,Telemetron,,2,https://www.ycombinator.com/companies/telemetron-ai,https://www.linkedin.com/search/results/people/?keywords=Telemetron%20founder
YC,The Hog,,2,https://www.ycombinator.com/companies/the-hog,https://www.linkedin.com/search/results/people/?keywords=The%20Hog%20founder
YC,Dome,,2,https://www.ycombinator.com/companies/dome,https://www.linkedin.com/search/results/people/?keywords=Dome%20founder
YC,RunAnywhere,,2,https://www.ycombinator.com/companies/runanywhere,https://www.linkedin.com/search/results/people/?keywords=RunAnywhere%20founder
YC,Beacon Health,"New York, NY, USA",2,https://www.ycombinator.com/companies/beacon-health,https://www.linkedin.com/search/results/people/?keywords=Beacon%20Health%20founder
YC,Tsenta,,2,https://www.ycombinator.com/companies/tsenta,https://www.linkedin.com/search/results/people/?keywords=Tsenta%20founder
YC,Netomi,"San Mateo, CA, USA",3,https://www.ycombinator.com/companies/netomi,https://www.linkedin.com/search/results/people/?keywords=Netomi%20founder
YC,Intelline,"Waterloo, ON, Canada",3,https://www.ycombinator.com/companies/intelline,https://www.linkedin.com/search/results/people/?keywords=Intelline%20founder
YC,Dyneti Technologies,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/dyneti-technologies,https://www.linkedin.com/search/results/people/?keywords=Dyneti%20Technologies%20founder
YC,Glimpse,"New York, NY, USA",3,https://www.ycombinator.com/companies/glimpse-2,https://www.linkedin.com/search/results/people/?keywords=Glimpse%20founder
YC,Rally,"Toronto, ON, Canada; Remote",3,https://www.ycombinator.com/companies/rally,https://www.linkedin.com/search/results/people/?keywords=Rally%20founder
YC,Vogent,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/vogent,https://www.linkedin.com/search/results/people/?keywords=Vogent%20founder
YC,Bluelight,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/bluelight,https://www.linkedin.com/search/results/people/?keywords=Bluelight%20founder
YC,Smartcuts,"New York, NY, USA; Remote",3,https://www.ycombinator.com/companies/smartcuts,https://www.linkedin.com/search/results/people/?keywords=Smartcuts%20founder
YC,Pangea.app,"New York, NY, USA; Providence, RI, USA; Remote",3,https://www.ycombinator.com/companies/pangea-app,https://www.linkedin.com/search/results/people/?keywords=Pangea.app%20founder
YC,Greywing,"Singapore, Singapore; Remote",3,https://www.ycombinator.com/companies/greywing,https://www.linkedin.com/search/results/people/?keywords=Greywing%20founder
YC,Stardex,"San Francisco, CA, USA",3,https://www.ycombinator.com/companies/stardex,https://www.linkedin.com/search/results/people/?keywords=Stardex%20founder
